Sentiment,User,Datetime,Activity
"

Start Your Review of Palo Alto High School

Rate It
httpswwwnichecomk12surveystarttk&epaloaltohighschoolpaloaltoca
Id say most of the teachers at Paly are really great they give
engaging lectures use realworld examples and interesting activities to
help us learn and they are very open to helping their students The
only reason I give four instead of five stars is because not all of the
teachers are like this Last year we had a new biology teacher who was
absolutely terrible at teaching this isnt to blame the school though
because the previous teacher left suddenly so they were desperate for a
replacement but she was fired so at least the administration
recognized that it was a problem

"," Niche User
"," Mar 3 2015
", Teachers
"

The school is very strict on bullying but many reports result in a slap
on the offenders wrist

"," High School Senior
"," Dec 30 2015
", Student Life
"

Palo Alto High School is a fairly impressive school The design of the
school is very organized and well thought out The classes offered are
interesting and educational While some of the teachers seem
underqualified the majority of the staff is friendly and helpful

"," Senior
"," 7 months ago
", Overall Experience
"

This school has a huge number of opportunities that many other schools
dont have and I have a very privileged education The average high
school does not have classes like glassblowing or seven periods of AP
Psychology

"," High School Senior
"," Jan 30 2016
", Overall Experience
"

The teachers at this school are some of the schools best attributes
Many of them are highly qualified care genuinely about what they teach
and encourage you to do the same Almost every teacher I have had here
has put in effort to engage students and drawn student attention to
opportunities in their area of interest Occasionally grading can seem
unfair or subjective especially within the english department but in
general this is pretty unavoidable If you ask the teachers for help
during tutorial or in class they are for the most part willing to help
you improve I really like lecture style courses which I know some
people find boring but I have still been exposed to a healthy ratio of
handson and project based teaching approaches Presentation and
communication skills are really developed though you dont really
notice this until you listen to how awkward some professional talk are
Basically you are one step ahead The science teachers in particular
those that are known for being tough are amazing They are wonderful at
addressing questions and communicating content that is often beyond the
typical high school comprehension level Failing is pretty much
impossible if you actually put in effort and talk to you teachers
Teachers are really not the issue here

"," High School Senior
"," Apr 6 2016
", Teachers
"

The only real schoolrelated extracurriculars I know are sports debate
choir journalism I love journalism at Paly and it is extremely
wellknown for its high caliber work

"," High School Senior
"," Jan 31 2016
", Clubs & Activities
"

Im honestly not too versed on this topic I have never felt
particularly unsafe at school thankfully and have been taken care of
in a time of need

"," High School Senior
"," Jan 14 2016
", Student Life
"

What I enjoyed most about my four years at Palo Alto High school was
the sense of community that is felt throughout campus While the courses
are demanding and rigorous the student body works together in a strong
and productive way that always took me by surprise There were always
studentled activities going on somewhere on campus and there was not
one moment when I was bored or felt disconnected from my peers My high
school experience was special enough that if I was offered a fifth year
to continue living the high school life I would take it in a heartbeat

"," Senior
"," Mar 29 2017
", Overall Experience
"

I think there are plenty of extracurriculars available at Paly There
are plenty of sports teams to participate in which most students do as
well as music theatre and art programs

"," High School Senior
"," Jan 10 2016
", Clubs & Activities
"

I love extracurriculars It helps me explore clubs

"," High School Senior
"," Jan 14 2016
", Clubs & Activities
"

Having an open campus is great but the school is very college oriented
and the students are pretty judgemental

"," Niche User
"," Oct 3 2015
", Overall Experience
"

The school has many intelligent and talented students that encourages
everyone to become involved and do their best in academics and
extracurricular activities There are many opportunities available in
terms of classes and the school has access to good facilities Many of
my teachers are capable and present the curriculum in an interesting
manner I was very lucky to go to Palo Alto High School

"," Senior
"," 7 months ago
", Overall Experience
"

Some are really good and friendly whereas some are boring and confusing
i except its the same at most schools

"," High School Junior
"," Apr 9 2015
", Teachers
"

I like Palo Alto High School because of the unique backgrounds that the
students have and the schools climate There is always lots of activity
taking place through clubs and organizations that are interactive and
engaging to the entire school The campus is very clean and in a nice
location allowing for a better learning environment While there is lots
of competition to succeed there are lots of resources to help those
experiences challenges academically or emotionally Thus despite the
stressful nature of the school Paly has a history of being an open
community welcome to all people

"," Junior
"," 11 months ago
", Overall Experience
"

The schools cafeteria has a rather bad reputation for having decent to
subpar lunches but recently they added a salad bar which I think is
actually pretty cool and a great alternative Theyve got a wide
selection of food to choose from there like different types of salads
fruits macaroni and the quality of the food is surprisingly good

"," Niche User
"," Mar 3 2015
", Student Life
"

My overall experience at this school is okay Palo Alto High is really
cliquey so its kind of a struggle trying to figure out who you can fit
in with and who would actually want to be friends with you High school
shouldnt be this way but thats how it is at Paly The workload can be
pretty stressful because youre being assigned to homework assignments
in every class Paly isnt a horrible school though it has good moments
there Spirit week is the best week because all the classesbased on
your grade level come together as one and they bond as a class Thats
my favorite part about Paly The admin team is really supportive and
they try to help you with whatever you need Overall I can say Paly
isnt that bad but it could use a little bit of work

"," High School Senior
"," Sep 12 2015
", Overall Experience
"

While Gunn High School the other high school in Palo Alto is known for
its academics Paly is known its athletics There are many different
sports to choose from at Paly and they all push students to do their
best We also have a lot of school spirit and many people outside of
school willing to help I think they will be building a new hightech
gym sometime soon because someone donated around 20 million to the
athletics department

"," Niche User
"," Mar 3 2015
", Clubs & Activities
"

Many teachers seem desensitized to student stress

"," High School Senior
"," Dec 29 2015
", Teachers
"

Some teachers are better than others

"," High School Senior
"," Jan 14 2016
", Teachers
"

It is a great school but it has its downsides there have been many
problems that the board has yet to fix but even that is not good There
are problems with the teachers and sports sort of being racists as seen
by a certain group in the school Overall it is a good school

"," Senior
"," Oct 15 2017
", Overall Experience
"

PALY is a competitive environment to be in and often times the pressure
causes students to feel overwhelmed The school is great about making
sure resources are available for students in need

"," High School Junior
"," May 25 2016
", Teachers
"

Start Your Review of Palo Alto High School

Rate It
httpswwwnichecomk12surveystarttk&epaloaltohighschoolpaloaltoca
The people are generally focused on how to get rich As an outsider I
loved the teachers but had a hard time getting along with some students
Courses have a pretty high workload AP or not Food from school is
terrible fortunately Town and Country next to the school and provides
delicious food often with a discount for students Good athletics

"," Junior
"," 6 months ago
", Overall Experience
"

I believe that there are many unique classes someone could choose from
for example glass blowing is offered here

"," High School Junior
"," May 25 2016
", Overall Experience
"

While there are a few unhelpful teachers most will go above and beyond
to help students succeed if the student takes initiative

"," High School Senior
"," Dec 30 2015
", Teachers
"

Cant beat the dedication theses teachers have here

"," High School Senior
"," June 9 2015
", Teachers
"

There are a vast array of clubs at the school all of which are
monitored by the administration

"," High School Senior
"," Dec 30 2015
", Clubs & Activities
"

Like any school there will be amazing teachers and horrible ones The
amazing thing about Palo Alto High School is that the horrible teachers
are in the minority and are often found teaching the classes where
students can easily selfteach themselves the material With an
unbelievable amount of funding Palo Alto teachers are able to
interweave technology with the coursework and bring in entertaining
guests and schedule fun activities

"," Niche User
"," May 13 2016
", Teachers
"

Start Your Review of Palo Alto High School

Rate It
httpswwwnichecomk12surveystarttk&epaloaltohighschoolpaloaltoca
When I participated in Speech and Debate club it provided me with skills
and techniques to effectively communicate and articulate my points of
view Judges were very supportive and provided feedback for improvement

"," High School Junior
"," Apr 28 2015
", Clubs & Activities
"

The school environment can be stressful but also welcoming at the same
time You have your mix of teachers and students

"," Senior
"," 10 months ago
", Overall Experience
"

Extracurricular options are very diverse ranging from challenging to
flatout fun

"," High School Senior
"," June 21 2016
", Clubs & Activities
"

People are incredibly stressed out because there is a lot of pressure to
do well academically While for some people this pressure can be a
negative catalyst I always found that it pushed me to achieve my full
academic potential and prepared me for college in the best way possible

"," Niche User
"," May 13 2016
", Overall Experience
"

It is a great school filled with inspiring staff but the administration
emphasizes on the wring things for student health

"," High School Senior
"," Aug 28 2015
", Overall Experience
"

Although I have encountered a few unenjoyable teachers at Paly most
have gone above and beyond They are easily approachable and will often
willingly spend time with you after school to answer any of your
questions Even in difficult classes it is clear that the teachers care
for the mental wellbeing of their students

"," High School Senior
"," Jan 14 2016
", Teachers
"

There are quite a few great teachers here who are committed to teaching
but there is also an intensely competitive environment when it comes to
academics The school also provides excellent extra curricular
activities such as glass blowing and theater

"," Alum
"," 11 months ago
", Overall Experience
"

They deal is no one but people who get free lunch eat at school
everyone else goes to town and country to eat Traders joes is 3 minutes
away and the most common option

"," High School Junior
"," Apr 9 2015
", Student Life
"

Overall it is a great school with many great opportunities due to the
competitive and high achieving environment at the school If you are the
best at Paly you will be one of the best at any college you will
attend The opportunities vary from sports to journalism to just
academics in general The school is cliquey but this also means there
is always a place where anyone can fit in And being part of multiple
cliques is acceptable You could be the studying with a group of very
intelligent students in BC Calc during school then a swimmer after
school and then be with the party crowd on the weekends The only issue
is the academic stress and the cheating which results from it

"," High School Junior
"," Feb 23 2015
", Overall Experience
"

The actual school is pretty safe No hardcore drugs are common no
gangs its like any suburbia school in terms of safety

"," High School Junior
"," Apr 9 2015
", Student Life
"

This school is academically amazing and fun

"," High School Senior
"," June 21 2016
", Overall Experience
"

Prepared me very well for college However in this very very
competitive school culture being average is seen as a failure

"," Alum
"," Dec 21 2016
", Overall Experience
"

My favorite teachers teach AP Calculus and AP Music Theory They are
relatable teachers who try to best fit the teaching style for their
students and deliver information clearly and confidently

"," High School Senior
"," Jan 30 2016
", Teachers
"

Most of the sports are very cliquey and overly competitive

"," High School Junior
"," May 25 2016
", Clubs & Activities
"

Palo Alto High School is a diverse school that works toward enhancing
every students school experience Many different interesting
curriculums are taught to students of all different interests Teachers
work together to give students the guidance and help they need in each
and every class

"," Sophomore
"," 9 months ago
", Overall Experience
"

Overall going to Paly is all I couldve asked from a high school We
have great teachers and a fantastic student body Of course there is
discussion over pressure and rigor but thats what happens when you
live in Palo Alto

"," High School Senior
"," July 21 2015
", Overall Experience
"

Very good the nurse is very kind and informative

"," High School Junior
"," May 25 2016
", Student Life
"

Despite some ups and downs which I think are characteristic of any high
schoolers life Ive had a pleasant experience Made a few great
friends had some great teachers and learned a lot of lessons in a
fairly safe environment to make mistakes

"," High School Senior
"," Jan 30 2016
", Overall Experience
"

Its an ok school if you dont have learning disabilities however I
went on to homeschooling in 2010

"," Niche User
"," Feb 19 2016
", Overall Experience
"

We have a great admin some people complain but in the end theyre
pretty chill i think mainly because kids tend to stay out of major trouble

"," High School Junior
"," Apr 9 2015
", Student Life
"

There are a wide variety of different clubs one can choose at Palo Alto
High School There are clubs ranging from DECA to HipHop Club to Acts
of Random Kindness Club to Chinese Club Many people are very invested
in clubs and many teachers support different clubs the only tiny
drawbacks are that there are a few clubs that started and didnt really
go anywhere or became more of a place to hangout instead of an actual club

"," Niche User
"," Mar 3 2015
", Clubs & Activities
"

Paly is great because of the number of opportunities and variety for
students Too often students feel like they have to do everything
available which often results in students overloading their schedules
and feeling stressed out Faculty has done some work to discourage this
behavior but it is really not their fault Paly has superior academic
opportunity and rigor but students need to learn that they dont have
to do anything

"," High School Senior
"," Apr 6 2016
", Academics
"

This is waaaaaaay to subjective Like most places this school is what
you make of it There is a lot of ambition here because parent AND
student expectations are so high which has good and bad consequences
In some circles there is definitely rampant cheating and school
policies have softened with regard to that behavior and there has been
studentstudent sabotage Still the admin is the worst part of this
school The other adults teachers and health professionals are pretty
receptive to students but my experience and that of several of my
peers with the admin actively discourages student efforts You want to
change a class or ask about credits on a transcript Be prepared for a
long wait which your guidance counselor will probably spend at Peets
Coffee and Tea and will have you in and out of the tower building with
each canceled meeting The college and career center people are not
geared towards helping you in anyway and many people just end up
getting a private advisor or doing it on their own That said the fact
that our alumni go on to great school and accomplish so much is even
more admirable considering this faculty This schools culture of
achievement means we have a lot of people who want to get things done
be that in volunteering science journalism clubs sports or art In
terms of preparing you for life this school has been amazing as you
learn to manage stress and seek out opportunities in there are many in
this area You can find a group of people who you belong with fairly
easily and in general this school is a pretty accepting place

"," High School Senior
"," Apr 6 2016
", Overall Experience
"

Top level sports teams yeee

"," High School Senior
"," June 9 2015
", Clubs & Activities
"

All of the teachers from this school are very approachable and care that
a student understands the material taught

"," High School Junior
"," Apr 26 2015
", Teachers
"

As a whole I enjoyed my time at Palo Alto High School The academics
are definitely rigorous but most of the time teachers are there though
it can be a hit and miss Most people go to Town and Country for lunch
Journalism at Paly is taken very seriously

"," Senior
"," 8 months ago
", Overall Experience
"

The school thinks they are diverse which they are not Rigorous workload
which very much prepares you for college Some very passionate teachers
not so much in science I never had a good science teacher Many
resources available on campus although sometimes hard to find

"," Alum
"," 6 months ago
", Overall Experience
"

Recently a few teachers have decided to try something new to help
students who cheat on tests or homework They created this program
called the Social Justice Pathway where students are not pushed away for
cheating but recognized and shown the way towards a better healthier
academic future

"," Niche User
"," Mar 3 2015
", Student Life
"

I THINK I PREPARED FOR COLLEGE AFTER HIGH SCHOOL

"," Niche User
"," Apr 22 2015
", College Readiness
"

Start Your Review of Palo Alto High School

Rate It
httpswwwnichecomk12surveystarttk&epaloaltohighschoolpaloaltoca
The school has a big focus on social emotional and mental health and
have lots of resources available to help with all The school nurse is
also available

"," High School Senior
"," Jan 31 2016
", Student Life
"

Start Your Review of Palo Alto High School

Rate It
httpswwwnichecomk12surveystarttk&epaloaltohighschoolpaloaltoca
Being a student in the famed Palo Alto School District requires
resiliency We are all under the constant stress of juggling multiple
collegelevel courses extracurriculars perhaps a sport or an
instrument SATs and other exams and evidently parents Students are
consistently trying to outcompete each other a mindset instilled in our
heads since we were first able to communicate It is expected that a
student performs extraordinarily well throughout high school enter a
toptiered university and lead a successful career With this fixed
mindset and numerous activities teens are unable to pursue or even
discover their passions The lack of passion will consequently lead to
feelings of emptiness and dissatisfaction a feeling that many of us are
quite too familiar with

"," High School Sophomore
"," June 15 2015
", Overall Experience
"

The teachers at my school are really good They are all very well
educated and well spoken Most of the teachers I have had treat their
students with respect

"," High School Senior
"," June 21 2016
", Teachers
"

I love Paly and the environment Sometimes it has been a little
stressful but the TA program and tutorial have helped so much

"," High School Senior
"," Sep 7 2015
", Overall Experience
"

One thing I liked about Palo Alto High School was the amazing performing
arts program I was in the choir and it was a really great program to
be a part of

"," Niche User
"," 12 months ago
", Overall Experience
"

We have a great sports program Football is heavily funded and has a
great stadium The gym is awesome but is getting torn down they are
building a new gym area that should be pretty sick

"," High School Junior
"," Apr 9 2015
", Clubs & Activities
"

While I enjoy certain things like the school athletics the overall
experience is marred by the cutthroat academic pressure

"," High School Senior
"," July 14 2015
", Overall Experience
"

Everybody talks about how open and compassionate the Palo Alto High
School community is but racism still exists on campus If youre not
white asian or indian youre probably eating lunch only with people
of your own race The vast majority of the school is white and asian so
it often does not feel very diverse

"," High School Senior
"," Apr 6 2016
", Student Life
"

The school is very competitive and you must be good at academics and
organized to do well The sports and athletics are good The teachers
are knowledgeable and there is much chance to succeed You should be
academically confident and be able to the homework easily The class
work is strenuous and difficult at times and can be easy in others Good
food choices across the street Classes are all engaging and easy to
find help after school hours if needed Does have peer tutoring and
other academic services to help students succeed

"," Senior
"," 4 months ago
", Overall Experience
"

As a minority PALY was a very interesting school it was very fit
towards a specific group of students and because of that some students
slipped through the cracks I did love the school spirit and culture
around specific sports being on the soccer team you were already into a
brotherhood that was very special so PALY had its ups and its downs I
believe they should change the way they find diversity get more colored
or diverse teachers so the diverse students feel they have someone they
can connect to and really just speak to about problems they may have

"," Alum
"," Feb 22 2017
", Overall Experience
"

Start Your Review of Palo Alto High School

Rate It
httpswwwnichecomk12surveystarttk&epaloaltohighschoolpaloaltoca
While the majority of students and teachers here are brilliant the
culture of expectation in this area is depressing and overwhelming

"," High School Senior
"," Dec 30 2015
", Overall Experience
